customer_id,customer_name,email,signup_date,segment,city,state,country
CUST00001,Customer_1,customer1@example.com,2024-08-02,Home Office,Nagpur,Gujarat,India
CUST00002,Customer_2,customer2@example.com,2021-08-17,Home Office,Chennai,West Bengal,India
CUST00003,Customer_3,customer3@example.com,2021-02-21,Home Office,Delhi,Delhi,India
CUST00004,Customer_4,customer4@example.com,2022-07-18,Consumer,Chennai,Gujarat,India
CUST00005,Customer_5,customer5@example.com,2022-05-17,Home Office,Bangalore,Rajasthan,India
CUST00006,Customer_6,customer6@example.com,2022-04-03,Home Office,Bangalore,Gujarat,India
CUST00007,Customer_7,customer7@example.com,2021-10-13,Corporate,Ahmedabad,Tamil Nadu,India
CUST00008,Customer_8,customer8@example.com,2021-07-29,Consumer,Ahmedabad,Rajasthan,India
CUST00009,Customer_9,customer9@example.com,2024-10-17,Consumer,Chennai,Telangana,India
CUST00010,Customer_10,customer10@example.com,2024-01-22,Home Office,Hyderabad,Delhi,India
CUST00011,Customer_11,customer11@example.com,2021-06-28,Home Office,Bangalore,Telangana,India
CUST00012,Customer_12,customer12@example.com,2024-04-24,Corporate,Hyderabad,Rajasthan,India
CUST00013,Customer_13,customer13@example.com,2023-05-15,Home Office,Bangalore,Gujarat,India
CUST00014,Customer_14,customer14@example.com,2021-03-07,Corporate,Chennai,Delhi,India
CUST00015,Customer_15,customer15@example.com,2021-03-03,Home Office,Nagpur,Gujarat,India
CUST00016,Customer_16,customer16@example.com,2021-07-11,Consumer,Kolkata,West Bengal,India
CUST00017,Customer_17,customer17@example.com,2022-03-24,Consumer,Mumbai,Maharashtra,India
CUST00018,Customer_18,customer18@example.com,2022-04-22,Consumer,Nagpur,Tamil Nadu,India
CUST00019,Customer_19,customer19@example.com,2023-11-01,Home Office,Bangalore,Tamil Nadu,India
CUST00020,Customer_20,customer20@example.com,2024-05-17,Home Office,Pune,Maharashtra,India
CUST00021,Customer_21,customer21@example.com,2021-02-24,Corporate,Kolkata,Gujarat,India
CUST00022,Customer_22,customer22@example.com,2024-02-24,Consumer,Mumbai,Telangana,India
CUST00023,Customer_23,customer23@example.com,2022-02-12,Corporate,Chennai,Karnataka,India
CUST00024,Customer_24,customer24@example.com,2024-08-23,Home Office,Nagpur,West Bengal,India
CUST00025,Customer_25,customer25@example.com,2024-12-07,Corporate,Ahmedabad,West Bengal,India
CUST00026,Customer_26,customer26@example.com,2024-01-22,Home Office,Ahmedabad,Gujarat,India
CUST00027,Customer_27,customer27@example.com,2023-05-10,Consumer,Chennai,Telangana,India
CUST00028,Customer_28,customer28@example.com,2022-03-28,Home Office,Mumbai,Karnataka,India
CUST00029,Customer_29,customer29@example.com,2023-07-09,Consumer,Kolkata,Karnataka,India
CUST00030,Customer_30,customer30@example.com,2024-04-21,Corporate,Chennai,Telangana,India
CUST00031,Customer_31,customer31@example.com,2022-07-24,Corporate,Kolkata,Gujarat,India
CUST00032,Customer_32,customer32@example.com,2021-01-14,Home Office,Chennai,West Bengal,India
CUST00033,Customer_33,customer33@example.com,2021-11-23,Home Office,Pune,Delhi,India
CUST00034,Customer_34,customer34@example.com,2024-11-30,Corporate,Chennai,Karnataka,India
CUST00035,Customer_35,customer35@example.com,2023-05-16,Consumer,Hyderabad,Delhi,India
